pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht 
240.307 -1.17528 2.70151 169.158 1.84551 -0.506974 979.749 0.661684 0.660576 0.485064 0.830968 51.4101 -0.322212 0.184762 458.867 
308.27 1.5278 2.94896 292.773 -1.16019 -0.2224 1232.59 0.678752 0.846167 0.901157 0.865983 23.1513 2.43734 0.511621 716.477 
230.733 0.930318 3.02115 205.395 -0.158316 -0.0709271 527.828 0.828162 0.354018 0.772169 0.583686 9.07544 0.538309 0.609236 459.659 
162.137 -0.714117 1.87918 154.822 -0.309389 -1.58976 339.828 0.371951 0.673251 0.831881 0.851467 12.5869 1.03884 0.840335 373.538 
234.891 -0.16312 -2.68706 125.184 -0.691153 0.530175 374.328 0.711385 0.340549 0.792721 0.809561 97.67 0.266894 0.263281 336.984 
273.692 -1.61485 2.6889 211.595 1.70959 -0.832116 1320.08 0.447442 0.879882 0.919233 0.69616 27.8937 -0.289716 0.5424 595.262 
156.616 1.7639 -3.02397 147.088 -0.144017 0.000441707 453.985 0.443648 0.894264 0.799552 0.747537 13.0485 0.206614 0.0889927 306.577 
175.821 -1.88066 0.855489 149.929 -2.41557 -2.10889 357.038 0.593324 0.733629 0.85404 0.776181 32.6207 -1.82157 0.287328 327.947 
209.616 1.10148 1.85751 166.022 2.01691 -1.81142 408.016 0.811377 0.796757 0.945295 0.774717 12.3989 -1.3817 0.097618 485.953 
175.454 -1.99047 2.0998 133.221 -1.73426 -0.843338 314.934 0.669345 0.529629 0.888682 0.799662 41.9638 -1.10346 0.0616611 345.824 
170.688 -1.21191 1.95735 146.373 -0.848983 -0.980213 333.045 0.828607 0.511735 0.569637 0.617557 12.6066 -1.7278 0.543557 323.368 
322.163 2.67015 -0.562265 303.672 -0.909495 2.40733 1938.09 0.542168 0.755295 0.706736 0.881727 30.644 -1.96732 1.23306 622.545 
182.148 1.38767 0.246614 175.127 0.730842 -3.021 397.928 0.830583 0.679252 0.783723 0.831034 13.0671 -1.80895 1.21205 373.458 
322.671 -1.95681 -0.902367 310.785 0.628143 2.04546 1244.95 0.704037 0.828871 0.801908 0.952721 33.0536 -0.498863 0.403504 712.086 
190.242 0.704204 -2.23246 134.697 2.42868 1.25263 457.718 0.825528 0.541876 0.663631 0.555479 51.6184 0.330456 0.922176 355.592 
131.563 0.736687 -0.0960761 109.216 -0.674624 2.31869 300.496 0.638959 0.590555 0.616577 0.631536 30.1486 2.77505 0.456362 294.016 
165.618 1.15423 -1.30484 149.093 0.879833 1.66422 336.212 0.787664 0.550662 0.686802 0.813457 24.738 1.97399 0.137235 301.8 
156.711 -0.332696 -2.25414 153.16 0.564607 0.206413 335.392 0.8177 0.854885 0.774629 0.752501 27.7426 2.14624 1.25879 429.192 
96.2846 -0.260375 0.793693 94.3705 -0.977421 -1.86475 206.208 0.688665 0.601001 0.863953 0.88227 16.8778 -0.520427 1.31412 254.242 
192.135 -2.97727 0.0986039 126.188 -2.74393 3.10671 322.865 0.648547 0.570616 0.734037 0.674222 46.599 -3.06769 0.0247024 333.115 
568.041 -1.46328 1.58086 508.855 -1.79168 -1.60027 1112.47 0.840723 0.54522 0.86508 0.777314 10.8865 -2.19322 0.59295 1091.96 
179.437 0.725108 1.1443 153.996 1.83014 -1.90314 394.911 0.670738 0.709617 0.810231 0.918168 19.343 -1.90951 0.00636995 319.424 
171.173 0.202621 1.8708 155.842 2.18101 -1.15642 511.898 0.809256 0.303769 0.748165 0.854965 6.96583 2.69607 0.710897 326.86 
252.036 1.91668 -1.30007 193.051 -0.984746 2.04304 1013.47 0.454208 0.605692 0.929443 0.785046 41.1223 1.94849 0.0945512 481.785 
138.307 1.00219 0.60053 131.433 3.22229 -2.57988 461.222 0.614427 0.434977 0.793342 0.594243 30.0563 -2.68546 0.105579 271.55 
331.604 0.555762 0.0599673 307.632 -1.42902 -2.8547 1019.22 0.754511 0.531106 0.547028 0.867656 32.6832 3.08919 2.8023 717.716 
183.552 -3.22097 -3.03367 136.053 1.3983 -0.291218 1611.9 0.657789 0.287361 0.766107 0.834268 29.4358 0.467278 0.359351 445.078 
177.454 1.22827 -0.897486 173.827 -1.28183 2.51217 677.218 0.881687 0.478521 0.786614 0.756229 30.6765 -0.787235 0.110251 390.23 
188.251 0.87015 -0.282919 180.223 -1.73546 2.04628 730.68 0.583275 0.847829 0.58126 0.77146 39.6374 -2.39048 1.29517 525.235 
201.535 -1.0205 2.25985 197.364 -0.683264 -0.799667 406.584 0.797418 0.806345 0.838749 0.677944 23.8414 -0.872303 0.0726367 399.278 
193.921 1.55305 -0.133135 191.866 1.51466 -2.84157 401.069 0.593508 0.393069 0.798078 0.801598 11.245 -2.68623 0.155334 492.533 
134.92 -2.80147 3.04794 100.363 0.409178 -0.218941 619.611 0.643838 0.629724 0.72379 0.739394 14.4223 2.94144 0.0187918 358.414 
277.843 0.522765 1.53162 173.132 2.08767 -1.84973 592.845 0.723868 0.531415 0.806832 0.48514 91.5067 -1.61813 0.00815877 487.32 
169.184 3.25387 -2.79944 115.61 2.10717 0.731488 326.91 0.402455 0.839395 0.784892 0.854787 17.3254 1.20644 0.474956 357.214 
276.161 0.112227 2.87934 245.508 -1.04552 -0.238448 628.479 0.772378 0.766214 0.799542 0.848611 24.5791 -1.06115 0.798907 560.114 
147.041 0.143077 -1.17539 107.453 0.648755 3.06622 228.163 0.719558 0.793693 0.846507 0.75477 16.9231 1.41415 1.65207 357.259 
